Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage
Hp 250 G9,1,Intel Iris Xe Graphics,FreeDos,32,Intel Core i5,15.6,3200,Grey,hp,29399,2048
Asus Rog Strix G16 G614Jva34,3,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,16,4800,Grey,asus,88650,1024
Dell Latitude 5440,1,Shared,Ubuntu,16,Intel Core i5,14,3200,Grey,dell,35169,512
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i7,15.6,4800,Grey,lenovo,37999,512
Lenovo Thinkbook Thinkbook 16P G5,3,Nvidia GeForce RTX 4060,FreeDos,64,Intel Core i9,16,5600,Metallic Grey,lenovo,107309,4096
Asus Tuf Gaming F15,3,Nvidia GeForce RTX 3050,Windows 11 Home,24,Intel Core i5,16.6,3200,"Black, Grey",asus,35299,512
Msi Vector 16 Hx,3,Nvidia GeForce RTX 5080,Windows 11 Home,32,Intel Core Ultra 9,16,6400,Grey,msi,157699,1024
Lenovo V15,1.5,Intel Iris Xe Graphics,Windows 11 Pro,24,Intel Core i5,15.6,3200,Black,lenovo,27733,512
Monster Abra A7 V15,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,13620H,17.3,3200,Black,monster,39000,500
Dell Precision M7780 Xctop7780Emea,1.5,Quadro RTX 5000,Windows 11 Pro,32,Intel Core i9,17,5600,Grey,dell,215544,512
Hp Probook X360 435,1.5,Shared,Windows 10 Pro,8,AMD Ryzen 3,13,3200,Silver,hp,30404,256
Dell Inspiron 16 5620,1.5,Intel Iris Xe Graphics,Ubuntu,16,Intel Core i5,16,3200,Silver,dell,25899,512
Monster Tulpar T5 V23,1.5,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,15.6,3200,Black,monster,54499,1024
Lenovo V15 83A1008Xtr09,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,23671,512
Hp 15S Eq2000Nt,3,AMD Radeon Graphics,Windows 11 Home,32,AMD Ryzen 7,15.6,3200,Metallic Grey,hp,24529,1024
Acer Nitro V 15,3,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,15.6,4800,Metallic Black,acer,47137,1024
Lenovo Thinkpad P16 Gen,2,Nvidia RTX 5000 ADA,Windows 11 Pro,192,Intel Core i9,16,5600,Grey,lenovo,399950,8192
Lenovo Loq 15Irx9,3,Nvidia GeForce RTX 3050,Windows 11 Pro,64,Intel Core i7,15.6,4800,Metallic Grey,lenovo,67619,2048
Lenovo V15 G4,1,Intel Iris Xe Graphics,FreeDos,8,13420H,15.6,3200,Black,lenovo,22796,512
Lenovo Thinkpad E14 Gen,3,Shared,Windows 11 Pro,32,Intel Core Ultra 5,14,1066,Black,lenovo,41862,1024
Lenovo Legion 9 16Irx8,3,Nvidia GeForce RTX 4080,FreeDos,32,Intel Core i9,16,6400,Black,lenovo,197998,1024
Lenovo Thinkpad E14 Gen5,3,Shared,FreeDos,32,Intel Core i5,14,3200,Black,lenovo,37985,512
Dell Latitude 3540,1.5,Intel Iris Xe Graphics,Windows 11 Home,20,Intel Core i5,15.6,3200,Black,dell,32983,512
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Home,32,Intel Core i7,15.6,3200,Black,dell,34263,1024
Asus Vivobook 15 X1504Za,1.5,Intel Iris Xe Graphics,FreeDos,24,Intel Core i5,15.6,3200,Silver,asus,23699,1024
Hp 250 G9,1,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Grey,hp,24399,512
Msi Cyborg 15 A13Vfa39,1,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,4800,Black,msi,59503,2048
Asus Tuf Gaming A15 Fa507Nvra79,3,Nvidia GeForce RTX 4060,FreeDos,32,AMD Ryzen 7,15.6,4800,Black,asus,56227,512
Dell Gaming G15 5530,3,Nvidia GeForce RTX 4060,Windows 10 Home,16,Intel Core i7,15.6,4800,Black,dell,56772,1024
Hp 250 G10,1.5,Nvidia GeForce MX550,FreeDos,32,Intel Core i5,15.6,3200,Grey,hp,28999,1024
Dell Inspiron 3520,1.5,Intel UHD Graphics,Ubuntu,16,Intel Core i7,15.6,3200,Black,dell,22670,512
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,asus,34919,512
Monster Tulpar T7 V20,3,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,17.3,3200,Black,monster,62199,1024
Dell Inspiron 3520 I5,3,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i5,15.6,2666,Black,dell,19589,1024
Asus Expertbook P1 P1403,1,Intel UHD Graphics,Windows 11 Pro,32,Intel Core i7,14,5600,Metallic Grey,asus,40375,1024
Msi Cyborg 15 A13Vf,1,Nvidia GeForce RTX 4060,Windows 11 Pro,32,Intel Core i7,15.6,5200,Black,msi,53799,512
Casper Nirvana C550 1235,1.5,Shared,Windows 11 Home,16,Intel Core i5,15.6,3200,Dark Grey,casper,18166,512
Lenovo Ideapad,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,18065,256
Lenovo Nb V15 82Yu0123Tx,1.5,AMD RX550 2 GB,Android,1,4600H,10,1066,"Gold, Black",lenovo,16999,1024
Lenovo Ideapad 1,1,Shared,Windows 11 Home,4,Intel Celeron,15.6,1066,Grey,lenovo,9399,128
Asus Vivobook 15 X1504Va,1,Intel UHD Graphics,Windows 11 Home,8,Intel Core i7,15.6,3200,Dark Blue,asus,25499,512
Hp 255 G9,1,Shared,Windows 11 Pro,32,AMD Ryzen 5,15.6,3200,Grey,hp,19042,256
Asus Tuf Gaming A15 Fa507Nura14,3,Nvidia GeForce RTX 4050,FreeDos,32,AMD Ryzen 7,15.6,4800,Black,asus,46008,1024
Asus Tuf Gaming A15 Fa506Nf,3,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,5600,Black,asus,33999,1024
Msi Cyborg 15 A13Vea79,1,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,4800,Black,msi,52494,512
Acer Nitro 5 Anv15,3,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,5600,Black,acer,30787,512
Acer Extensa 15,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,3200,"Grey, Black",acer,22298,512
Msi Raider 18 Hx,3,Nvidia GeForce RTX 5090,Windows 11 Home,64,Intel Core Ultra 9,18,6400,Black,msi,271499,4096
Acer Aspire 5 A515,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,"Dark Grey, Black",acer,20599,512
Msi Cyborg 15,1.5,Nvidia GeForce RTX 4060,Windows 11 Pro,32,Intel Core i7,15.6,5200,Black,msi,62915,1024
Asus Vivobook 15 X1504Va,1,Intel UHD Graphics,FreeDos,24,Intel Core i5,15.6,3200,Silver,asus,17999,512
Monster Abra A7 V16,3,Nvidia GeForce RTX 4050,Windows 11 Home,64,Intel Core i7,17.3,4800,Black,monster,62099,1024
Lenovo V15,1,AMD Radeon Graphics,Windows 11 Home,16,AMD Ryzen 5,15.6,5500,Black,lenovo,20999,1024
Dell Inspiron 3530,1,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,15.6,3200,Black,dell,36259,512
Dell Vostro 3530,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,dell,27353,512
Hp 250 G9,1.5,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,"Dark Grey, Black",hp,19499,512
Asus Rog Strix G18 G815Lr,3,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 9,18,5600,Black,asus,139999,1024
Lenovo Thinkpad E15 21E6005Htx,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,33947,256
Msi Thin 15 B12Uc,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,3200,"Dark Gray, Black",msi,31849,512
Lenovo Thinkpad E16 Gen1,1.5,AMD Radeon Graphics,FreeDos,24,AMD Ryzen 7,16,3200,Metallic Black,lenovo,37441,1024
Hp 250 G9,1.5,Intel UHD Graphics,Windows 10 Home,16,Intel Core i5,15.6,3200,Grey,hp,19686,512
Dell Vostro 3520,1.5,Shared,Linux,8,Intel Core i7,15.6,2666,Black,dell,22481,512
Lenovo Ideapad,1.5,Shared,FreeDos,24,AMD Ryzen 7,15.6,3200,Grey,lenovo,20472,1024
Acer Nitro V 15 Anv15,3,Nvidia GeForce RTX 4050,Windows 11 Home,64,Intel Core i7,15.6,5600,Black,acer,53999,1024
Hp Zbook Firefly 14 G10,1,AMD Radeon 780M,Windows 11 Pro,64,AMD Ryzen 7,14,5600,Metallic Grey,hp,75885,1024
Asus Expertbook P1 P1503,1,Intel UHD Graphics,FreeDos,96,Intel Core i7,15.6,5600,Metallic Grey,asus,46941,512
Asus Expertbook B5,1,Intel Iris Xe Graphics,Windows 11 Pro,8,Intel Core i7,16,4800,Black,asus,51471,1024
Hp 250 G9,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Silver,hp,21699,512
Casper Nirvana S100 300Nit,1,Intel Graphics,Windows 11 Home,8,Intel Core i5,16,5600,Titanium Grey,casper,22699,250
Lenovo Ideapad 1,1.5,AMD Radeon Graphics,Windows 11 Home,32,AMD Ryzen 7,15.6,3200,Grey,lenovo,22899,512
Lenovo Thinkpad E14 Gen,1.5,AMD Radeon Vega 7,Windows 11 Pro,24,AMD Ryzen 5,14,3200,Black,lenovo,28000,1024
Dell Latitude 3550,1.5,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,15.6,5600,Metallic Black,dell,46353,512
Asus Expertbook B1 B1503Cva,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,5600,"Dark Gray, Black",asus,41551,1024
Lenovo V15 Gen,3,Shared,Windows 11 Pro,40,Intel Core i7,15.6,3200,Black,lenovo,32999,1024
Lenovo Thinkpad X1 Carbon,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,14,5600,Black,lenovo,80249,1024
Acer Nitro 5 An515,3,Nvidia GeForce RTX 4060,Windows 11 Pro,64,Intel Core i7,15.6,4800,Black,acer,55813,1024
Lenovo Loq 15Irx9,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,4800,Grey,lenovo,41849,512
Asus Zenbook Duo Ux8406Ca Pz208W,1,Intel Arc Graphics,Windows 11 Home,32,Intel Core Ultra 9,14,7467,Grey,asus,121499,2048
Hp 250 G10,1.5,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,15.6,3200,Grey,hp,27741,512
Lenovo Thinkpad E14 Gen5,1.5,Shared,Windows 11 Pro,40,Intel Core i5,14,3200,Black,lenovo,36218,512
Casper Excalibur G911 1390,3,Nvidia GeForce RTX 4090,FreeDos,64,Intel Core i9,16,4800,Grey,casper,120599,2048
Hp 15S Eq2000Nt,1.5,AMD Radeon Graphics,Windows 11 Pro,32,AMD Ryzen 7,15.6,3200,Silver,hp,21499,1024
Casper Nirvana S100 300Nit,1,Intel Graphics,FreeDos,16,Intel Core i7,16,5600,Titanium Grey,casper,25399,1024
Lenovo Thinkpad E14 G6,1,Intel Graphics,Windows 11 Home,16,Intel Core Ultra 7,14,5600,Black,lenovo,43673,512
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,18999,512
Casper Nirvana X600 1342,1,Shared,FreeDos,16,13420H,15.6,3200,Blue,casper,20399,1024
Dell Inspiron 3520,3,Shared,FreeDos,16,Intel Core i5,15.6,2666,"Dark Gray, Black",dell,17499,512
Hp 15 Fc0000Nt,3,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,hp,13899,512
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,8,12500H,15.6,3200,Dark Grey,asus,29499,512
Msi Katana 15 B13Vgk,3,Nvidia GeForce RTX 4070,Windows 11 Pro,48,Intel Core i7,15.6,5200,Black,msi,75999,1024
Lenovo Yoga 7,1.5,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i7,16,5200,"Grey, Black",lenovo,75999,1024
Dell Inspiron 3520,1.5,Intel UHD Graphics,Windows 11 Pro,40,Intel Core i7,15.6,3200,Black,dell,35328,512
Hp 255 G9,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 5,15.6,3200,Silver,hp,16799,512
Asus Expertbook P1 P1503,1,Intel UHD Graphics,FreeDos,24,Intel Core i7,15.6,5600,Metallic Grey,asus,36259,512
Asus Expertbook P1 P1403Cva,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,14,5600,Metallic Grey,asus,26383,512
Monster Abra A5 V20,3,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,3200,Black,monster,36399,500
Msi Katana 17,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,17.3,5200,Black,msi,71343,1024
Acer Extensa 15,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,"Grey, Black",acer,15399,512
Asus Vivobook X1502Za Ej1070,1.5,Shared,Windows 11 Pro,24,Intel Core i5,15.6,3200,Navy Blue,asus,21999,1024
Dell Inspiron 3520,1.5,Intel UHD Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,25499,512
Lenovo Thinkpad E14 Gen,1.5,AMD Radeon Vega 7,Windows 11 Pro,16,AMD Ryzen 5,14,3200,Black,lenovo,27000,1024
Dell Latitude 3550,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,5600,"Dark Gray, Black",dell,35299,1024
Monster Tulpar T5 V23,1.5,Nvidia GeForce RTX 4060,Windows 11 Home,64,Intel Core i7,15.6,3200,Black,monster,56799,1024
Monster Huma H4 V6,1.5,Intel Arc Graphics,FreeDos,16,Core Ultra 7,14,5600,Silver,monster,45999,500
Msi Cyborg 15,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i5,15.6,5200,Black,msi,48748,1024
Hp Victus 16 S0001Nta26,3,Nvidia GeForce RTX 4070,Windows 11 Pro,32,AMD Ryzen 7,16.1,4800,Dark Grey,hp,75441,2048
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,40,Intel Core i7,15.6,3200,Black,lenovo,30085,1024
Dell Vostro 3530,1,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,15.6,2666,Grey,dell,27943,1024
Lenovo Ideapad 1 82V700A9Tx01,1,Shared,Windows 11 Home,4,Intel Celeron,15.6,2400,Black,lenovo,11902,256
Lenovo V15 82Tt008Ptx,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21699,512
Asus Expertbook B5,1,Intel Arc Graphics,FreeDos,40,Intel Core i5,16,4800,Grey,asus,48770,1024
Msi Modern 15,1,Intel Iris Xe Graphics,FreeDos,64,Intel Core i7,15.6,3200,Dark Grey,msi,35617,512
Dell Inspiron 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,dell,24989,1024
Hp Victus 16 S1002Nt,3,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,16.1,5600,Black,hp,63999,1024
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Linux,8,Intel Core i3,15.6,2666,Black,dell,12395,512
Msi Sword 17 Hx,3,Nvidia GeForce RTX 4070,Windows 11 Home,96,Intel Core i9,17,5600,Black,msi,124753,1024
Msi Cyborg 15,1.5,Nvidia GeForce RTX 4060,FreeDos,64,Intel Core i7,15.6,5200,Black,msi,60661,512
Casper Nirvana S100 300Nit,1,Intel Graphics,FreeDos,16,Intel Core i7,16,5600,Titanium Grey,casper,23499,250
Lenovo Thinkpad E14 Gen,1.5,AMD Radeon Vega 7,Windows 11 Pro,40,AMD Ryzen 5,14,3200,Black,lenovo,29500,512
Lenovo Ideapad,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,19921,1024
Dell Vostro 3520,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,19999,512
Asus Vivobook,1,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core i5,16,3200,Black,asus,54124,1024
Dell Vostro 3520 N1611Pvnb3520U04,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,dell,21599,1024
Msi Modern 15,1,Intel Iris Xe Graphics,Windows 11 Pro,64,Intel Core i7,15.6,3200,Dark Grey,msi,42183,1024
Lenovo Thinkpad E14 Gen,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,14,3200,Black,lenovo,36499,256
Msi Katana 17,1.5,Nvidia GeForce RTX 4060,Windows 11 Pro,64,Intel Core i7,17.3,5200,Black,msi,83985,1024
Hp 250 G9,1,Shared,Windows 11 Pro,8,Intel Core i5,15.6,3200,Grey,hp,18799,512
Lenovo Ideapad 3 17Iau7,3,Shared,FreeDos,40,Intel Core i5,17.3,3200,Grey,lenovo,29999,512
Hp 14S Fq1000Nt,1.5,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,14,3200,Black,hp,19448,512
Monster Tulpar T6 V3,3,Nvidia GeForce RTX 4060,FreeDos,64,Intel Core i7,16,4800,Black,monster,61799,1024
Asus Expertbook B1,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,asus,24149,512
Dell Latitude 3540,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,26155,512
Msi Prestige 16 Ai,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core Ultra 7,16,4800,Black,msi,91775,1024
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,Windows 11 Home,24,AMD Ryzen 7,15.6,3200,Grey,lenovo,20999,1024
Lenovo Ideapad 3,1.5,Intel Iris Graphics,FreeDos,8,Intel Core i5,15.6,3200,Grey,lenovo,18989,512
Asus Vivobook 15 X1504Va,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Silver,asus,19799,1024
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,16,12500H,15.6,3200,Dark Grey,asus,32599,1024
Lenovo Ideapad 3 15Iau7,1.5,Intel UHD Graphics,FreeDos,4,Intel Core i3,15.6,3200,Grey,lenovo,13930,512
Asus Expertbook P1 P1503,1,Intel UHD Graphics,Windows 11 Pro,32,Intel Core i7,15.6,5600,Metallic Grey,asus,42139,1024
Monster Huma H5 V4,1.5,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,15.6,3200,Black,monster,33599,1024
Hp 255 G9,1,Shared,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,hp,15563,512
Asus Zenbook 14 Ux3405Ma,1.5,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 7,14,5800,Grey,asus,57299,1024
Asus Expertbook B3 Flip,1.5,Intel UHD Graphics,Windows 11 Pro,24,Intel Core i5,14,3200,Black,asus,30749,512
Asus Expertbook P1 P1503,1,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,5600,Metallic Grey,asus,34103,512
Hp 250 G9,1.5,Intel UHD Graphics,Windows 11 Pro,24,Intel Core i5,15.6,3200,Grey,hp,20473,512
Lenovo Ideapad Slim 3 83Er000Wtr03,1.5,Intel UHD Graphics,Windows 11 Pro,8,Intel Core i5,15.6,4800,Grey,lenovo,18999,512
Monster Tulpar T7 V20,3,Nvidia GeForce RTX 4060,Windows 11 Home,64,Intel Core i7,17.3,3200,Black,monster,72448,1024
Lenovo Thinkpad E14 Gen,1.5,Nvidia GeForce MX550,FreeDos,40,Intel Core i7,14,3200,Black,lenovo,49372,1024
Dell Latitude 3550,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,5600,Black,dell,51409,2048
Lenovo V15,1.5,AMD Radeon Graphics,Windows 10 Pro,24,AMD Ryzen 7,15.6,3200,Black,lenovo,23630,256
Lenovo Loq,3,Nvidia GeForce RTX 4070,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,64999,1024
Msi Nb Sword 16 Hx,3,Nvidia GeForce RTX 4070,Windows 11 Home,64,Intel Core i7,16,5600,Metallic Black,msi,103879,4096
Acer Nitro An16 41,3,Nvidia GeForce RTX 4050,Windows 11 Home,16,Ryzen 5,16,4800,Black,acer,39690,512
Dell Inspiron 3520,1.5,Intel UHD Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,29999,1024
Acer Nitro V15 Nh,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,13420H,15.6,4800,Black,acer,30199,512
Msi Sword 17 Hx,3,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,17,5600,Grey,msi,83697,1024
Acer Nitro 5 Anv15,5,Nvidia GeForce RTX 3050,Windows 11 Pro,16,Intel Core i5,15.6,5600,Black,acer,32499,512
Monster Tulpar T6 V3,3,Nvidia GeForce RTX 4070,Windows 11 Home,32,Intel Core i7,16,4800,Black,monster,70999,1024
Lenovo Loq 15Irx9,3,Nvidia GeForce RTX 4060,Windows 11 Pro,32,Intel Core i7,15.6,4800,Grey,lenovo,67999,1024
Asus Vivobook 15 X1504Va,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Silver,asus,17999,512
Dell Latitude 5440 13,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,14,3200,"Dark Grey, Black",dell,61837,512
Hp 255 G9,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 5,15.6,3200,"Grey, Silver",hp,16699,512
Monster Tulpar T5 V23,1.5,Nvidia GeForce RTX 4060,Windows 11 Home,16,Intel Core i7,15.6,3200,Black,monster,51799,1024
Msi Cyborg 15,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,5200,Black,msi,52663,256
Dell Vostro 3530,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,dell,19330,1024
Msi Thin 15,3,Nvidia GeForce RTX 3050,Windows 11 Home,36,Intel Core i5,15.6,3200,Grey,msi,39845,1024
Asus Tuf Gaming A15 Fa507Nvra6,3,Nvidia GeForce RTX 4060,Windows 10 Pro,16,AMD Ryzen 7,15.6,4800,Black,asus,57852,1024
Asus Zenbook S 14 Oled,1.5,Intel Arc Graphics,Windows 11 Home,32,Intel Core Ultra 7,14,4800,Grey,asus,73599,1024
Dell Latitude 3440 N085L344014U02,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,14,3200,Grey,dell,25857,512
Dell Xps 13 9340,1.5,Intel Arc Graphics,Windows 11 Pro,16,Intel Core Ultra 7,13.3,6400,Grey,dell,72922,1024
Lenovo Loq 15Irh8,3,Nvidia GeForce RTX 4060,Windows 11 Home,16,Intel Core i7,15.6,5200,"Dark Gray, Black",lenovo,68225,512
Hp Probook 450 G10,1,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Silver,hp,31599,512
Hp Probook 440 G11,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,64,Intel Core Ultra 7,14,5600,Silver,hp,73891,1024
Monster Tulpar T6 V3,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16,4800,Black,monster,49999,500
Lenovo Thinkpad E16,1,Intel Arc Graphics,FreeDos,64,Intel Core Ultra 7,16,5600,Black,lenovo,55399,1024
Msi Modern 15 B12Mo,3,Intel Iris Xe Graphics,FreeDos,16,1235U,15.6,3200,Black,msi,19099,512
Lenovo Yoga 9,3,Intel Arc Graphics,Windows 11 Home,32,Intel Core Ultra 7,14,7467,Blue,lenovo,110000,1024
Asus Vivobook 15,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,3200,Metallic Grey,asus,32507,1024
Lenovo Loq,3,Nvidia GeForce RTX 4050,Windows 11 Pro,24,Intel Core i5,15.6,4800,Grey,lenovo,43964,1024
Acer Nitro Anv15 51,3,Nvidia GeForce RTX 3050,Windows 11 Home,8,Intel Core i5,15.6,4800,Black,acer,30550,512
Dell Latitude 3520 N028L352025Emea,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,dell,27499,512
Casper Nirvana X600 1235,1,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,19499,512
Lenovo Ideapad 1,1.5,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Grey,lenovo,16463,512
Dell Vostro 3530,1.5,Intel UHD Graphics,Ubuntu,16,Intel Core i7,15.6,3200,Black,dell,23445,512
Dell Inspiron 15 3511,1.5,Intel Iris Xe Graphics,Windows 10 Pro,16,Intel Core i5,15.6,2666,Black,dell,19399,512
Asus Vivobook 15,1.5,Intel Iris Xe Graphics,Windows 11 Pro,24,Intel Core i7,15.6,3200,Metallic Grey,asus,28399,1024
Lenovo Loq 15Arp9,3,Nvidia GeForce RTX 3050,FreeDos,8,AMD Ryzen 5,15.6,4800,Grey,lenovo,29120,512
Hp Probook 450 G10,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,32,Intel Core i7,15.6,3200,Silver,hp,63209,1024
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,20183,512
Dell Vostro 3520 N5305Pvnb3520U,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,dell,26263,512
Asus Vivobook 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,48,Intel Core i5,16,3200,Black,asus,44999,1024
Lenovo V15 G4,1.5,Intel Iris Xe Graphics,Windows 11 Pro,24,Intel Core i7,15.6,3200,Black,lenovo,30999,512
Lenovo Thinkpad E16 Gen1,3,Intel UHD Graphics,FreeDos,16,Intel Core i7,16,3200,Black,lenovo,43500,512
Lenovo Thinkpad E16 Gen,1,Intel Graphics,Windows 11 Pro,16,Intel Core Ultra 5,16,5600,Black,lenovo,38850,512
Monster Abra A7 V16,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17.3,4800,Black,monster,53599,1024
Hp 15S Eq2000Nta60,1,Shared,FreeDos,32,AMD Ryzen 7,15.6,3200,Silver,hp,18499,512
Lenovo V15 G4,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,23999,512
Casper Nirvana X600 1270,1.5,Shared,Windows 11 Pro,16,Intel Core i7,15.6,3200,Grey,casper,23899,512
Asus Vivobook 15,1.5,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i7,15.6,3200,Metallic Grey,asus,26249,512
Lenovo Thinkpad E16 Gen1,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,16,3200,Black,lenovo,37000,1024
Dell Latitude 3550 N010L355015U12,1.5,Intel Iris Xe Graphics,Windows 11 Pro,64,Intel Core i7,15.6,5600,Dark Grey,dell,52299,1024
Hp 15 Fd1002Nt,1,Intel Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Grey,hp,39399,1024
Acer Nitro V 15,3,Nvidia GeForce RTX 4060,Windows 11 Home,96,AMD Ryzen 7,15.6,4800,Black,acer,64741,2048
